transaction_id,loan_id,customer_id,transaction_date,transaction_amount,transaction_type,payment_method,status,remarks
28,763,783,9/13/2022 19:50,40401,Missed EMI,UPI,Failed,Partial payment.
29,2434,169,5/22/2020 6:49,20777,Refund,Credit Card,Successful,Payment missed.
30,1112,492,2/23/2022 17:37,37832,Refund,UPI,Pending,Payment missed.
31,1820,70,8/15/2024 22:56,34260,Penalty,UPI,Failed,Payment missed.
32,2446,196,10/15/2020 17:50,11975,Missed EMI,UPI,Pending,Partial payment.
33,550,552,3/2/2021 19:20,23069,Missed EMI,Online Transfer,Pending,Payment missed.
34,2318,421,4/22/2022 19:15,24394,Refund,Cash,Successful,On-time payment.
35,1155,812,4/29/2024 10:05,1481,Missed EMI,Cash,Failed,Late penalty.
36,1364,296,10/11/2020 19:48,28763,Penalty,Online Transfer,Pending,Payment missed.
37,482,701,6/11/2024 3:40,32735,Missed EMI,Credit Card,Pending,Payment missed.
38,1285,92,7/12/2024 11:19,33189,Missed EMI,UPI,Successful,Late penalty.
39,2725,766,10/19/2020 4:17,13968,Missed EMI,UPI,Failed,Payment missed.
40,1029,24,4/21/2023 20:59,11578,EMI Payment,Online Transfer,Failed,Partial payment.
41,105,982,12/15/2023 6:23,27901,Missed EMI,Online Transfer,Pending,Partial payment.
42,330,289,12/7/2022 8:20,14008,EMI Payment,Cash,Pending,Late penalty.
43,934,894,7/26/2022 22:41,4817,Refund,UPI,Failed,On-time payment.
44,1186,388,4/21/2020 17:07,36316,Missed EMI,Credit Card,Successful,Late penalty.
45,160,85,11/16/2023 17:46,31209,EMI Payment,UPI,Successful,Payment missed.
46,2882,732,9/1/2020 21:23,5313,Prepayment,Online Transfer,Successful,Partial payment.
47,2509,997,5/29/2022 8:31,8619,Penalty,UPI,Pending,Payment missed.
48,2841,621,9/6/2022 18:21,1356,Missed EMI,Online Transfer,Failed,On-time payment.
49,1572,251,1/10/2022 17:17,7099,Missed EMI,Credit Card,Pending,Late penalty.
50,601,959,11/7/2024 21:54,9083,EMI Payment,UPI,Pending,Late penalty.
51,1514,839,8/11/2022 23:53,24684,EMI Payment,Credit Card,Failed,Partial payment.
52,1649,352,5/11/2021 9:56,46233,EMI Payment,Cash,Successful,Late penalty.
53,2755,576,1/7/2020 13:18,16106,Prepayment,UPI,Successful,Late penalty.
54,2540,382,4/27/2022 15:36,19362,Missed EMI,UPI,Failed,Partial payment.
55,1822,646,6/17/2023 3:32,17835,EMI Payment,Online Transfer,Successful,Partial payment.
56,1181,380,5/10/2020 2:40,14291,Prepayment,Credit Card,Successful,Partial payment.
57,1231,763,9/4/2021 14:39,2560,EMI Payment,Cash,Successful,On-time payment.
58,1789,394,11/26/2023 9:57,48896,Refund,Cash,Pending,Late penalty.
59,963,236,3/3/2020 19:27,30932,Missed EMI,Online Transfer,Pending,Payment missed.
60,1245,281,12/13/2019 10:25,2153,EMI Payment,Cash,Pending,On-time payment.
61,2655,435,3/23/2022 11:22,37747,EMI Payment,UPI,Pending,Late penalty.
62,2097,805,9/25/2023 0:47,41717,Refund,Cash,Successful,Partial payment.
63,2152,355,11/2/2023 7:07,20776,EMI Payment,Credit Card,Successful,Payment missed.
64,1630,490,1/8/2024 0:57,39410,EMI Payment,UPI,Failed,Late penalty.
65,2831,512,11/20/2021 14:42,22328,Missed EMI,Cash,Successful,On-time payment.
66,1172,322,5/9/2021 16:20,39418,Missed EMI,Online Transfer,Pending,On-time payment.
67,2617,500,10/29/2021 21:39,34990,Penalty,Online Transfer,Successful,On-time payment.
68,890,200,7/26/2022 4:02,14815,Missed EMI,Credit Card,Successful,On-time payment.
69,1904,43,1/4/2020 10:42,46547,Prepayment,UPI,Pending,Late penalty.
70,2719,721,6/29/2021 1:55,49210,Missed EMI,Cash,Successful,Late penalty.
71,1051,7,4/5/2021 21:36,39096,Prepayment,Cash,Failed,On-time payment.
72,1213,4,5/10/2024 17:15,32324,Missed EMI,UPI,Pending,On-time payment.
73,2883,964,7/29/2020 18:18,13744,Penalty,Online Transfer,Failed,Payment missed.
74,613,18,3/6/2021 20:47,19623,Prepayment,Online Transfer,Successful,Payment missed.
75,236,790,10/13/2024 21:45,35323,Prepayment,UPI,Pending,Late penalty.
76,1631,494,1/27/2024 7:54,27728,EMI Payment,Credit Card,Successful,Payment missed.
77,204,357,10/30/2021 3:07,31216,Prepayment,UPI,Pending,Partial payment.
78,1977,121,8/15/2024 22:48,47273,Refund,Online Transfer,Failed,On-time payment.
79,1014,1,2/6/2022 17:40,45211,Penalty,Credit Card,Pending,Partial payment.
80,523,736,9/25/2024 21:39,20232,EMI Payment,Credit Card,Successful,Payment missed.
81,2242,265,10/25/2023 22:37,19503,EMI Payment,Credit Card,Pending,Partial payment.
82,168,752,4/5/2022 7:29,36394,Missed EMI,Online Transfer,Failed,Late penalty.
83,1961,758,2/18/2023 9:43,49694,Refund,Online Transfer,Failed,Late penalty.
84,831,550,5/28/2023 9:20,15781,Prepayment,Online Transfer,Pending,Partial payment.
85,1843,267,11/26/2020 7:07,15760,Penalty,Credit Card,Successful,On-time payment.
86,2757,600,2/11/2022 1:05,17921,Refund,Credit Card,Failed,Payment missed.
87,1012,64,8/31/2021 19:00,14031,Prepayment,UPI,Successful,Late penalty.
88,270,875,2/18/2022 21:20,46231,EMI Payment,Credit Card,Failed,Late penalty.
89,1609,39,12/29/2020 11:31,33570,Missed EMI,UPI,Successful,Late penalty.
90,1788,616,11/6/2022 15:48,28399,Refund,Cash,Pending,Partial payment.
91,1142,26,6/10/2021 5:24,10968,Refund,Cash,Successful,Partial payment.
92,718,957,12/24/2023 17:56,23021,Prepayment,Cash,Failed,Late penalty.
93,2154,800,7/22/2024 2:11,20030,EMI Payment,Online Transfer,Successful,Late penalty.
94,1392,451,8/24/2022 12:40,21473,Penalty,Online Transfer,Pending,Payment missed.
95,2730,15,4/18/2024 7:56,29826,Prepayment,Online Transfer,Pending,Partial payment.
96,992,983,2/22/2024 16:24,21495,Prepayment,Cash,Successful,Partial payment.
97,2482,179,12/5/2021 17:12,11132,EMI Payment,UPI,Pending,Payment missed.
98,2749,239,7/5/2021 5:44,29626,EMI Payment,UPI,Successful,On-time payment.
99,2276,601,8/1/2022 2:43,6960,Penalty,UPI,Pending,Partial payment.
100,1835,485,2/10/2022 2:00,11948,Prepayment,Cash,Pending,On-time payment.
101,1362,208,4/20/2020 4:54,20594,EMI Payment,Cash,Failed,Partial payment.
102,2467,616,11/17/2021 10:31,20751,Refund,Online Transfer,Pending,Late penalty.
103,559,278,4/17/2022 2:56,39987,EMI Payment,Online Transfer,Successful,Payment missed.
104,2876,434,3/13/2022 14:47,20748,EMI Payment,Online Transfer,Failed,Partial payment.
105,2203,247,4/10/2021 11:42,30321,EMI Payment,Online Transfer,Pending,Late penalty.
106,2365,947,4/25/2022 3:52,7860,EMI Payment,Credit Card,Successful,On-time payment.
107,204,131,6/24/2023 6:24,17400,Prepayment,UPI,Pending,On-time payment.
108,2981,207,1/4/2024 13:00,27727,Prepayment,Credit Card,Pending,On-time payment.
109,1736,868,5/8/2021 13:03,48051,Missed EMI,Cash,Failed,On-time payment.
110,1026,791,4/7/2022 15:44,49237,Missed EMI,UPI,Successful,On-time payment.
111,1432,802,1/15/2024 23:28,35400,EMI Payment,UPI,Pending,On-time payment.
112,2201,705,11/17/2024 7:21,19927,Penalty,UPI,Successful,On-time payment.
113,2146,72,12/26/2019 15:47,23545,Prepayment,Credit Card,Failed,On-time payment.
114,705,142,4/18/2023 19:53,49319,EMI Payment,Online Transfer,Failed,On-time payment.
115,1752,864,4/2/2020 10:43,35211,Prepayment,Cash,Failed,Partial payment.
116,2672,772,7/8/2024 23:14,47528,Prepayment,Credit Card,Failed,Payment missed.
117,2896,112,2/5/2021 2:17,33461,Penalty,Cash,Successful,Late penalty.
118,921,418,1/31/2020 9:55,40317,Refund,Credit Card,Successful,Payment missed.
119,2657,547,2/3/2024 23:19,27780,Missed EMI,Credit Card,Successful,On-time payment.
120,767,890,1/1/2023 6:19,32501,Refund,UPI,Successful,Payment missed.
121,2732,776,1/31/2024 7:32,12520,Prepayment,UPI,Successful,Partial payment.
122,617,267,11/4/2021 22:48,8960,Missed EMI,Cash,Pending,On-time payment.
123,1520,454,11/19/2023 6:35,36783,Missed EMI,Cash,Failed,On-time payment.
124,2285,384,1/14/2024 5:49,45648,EMI Payment,Cash,Successful,Partial payment.
125,2026,221,11/11/2024 12:11,31322,Penalty,Credit Card,Successful,Late penalty.
126,1722,670,11/11/2022 9:28,7010,Refund,Online Transfer,Successful,Payment missed.
127,457,892,10/31/2020 2:11,21877,EMI Payment,Credit Card,Pending,Payment missed.
128,687,712,5/2/2020 8:52,29088,EMI Payment,UPI,Failed,On-time payment.
129,1873,41,5/24/2023 9:27,10228,EMI Payment,Credit Card,Successful,Payment missed.
130,1559,2,5/23/2020 23:36,28851,Refund,Cash,Successful,On-time payment.
131,2179,579,3/25/2022 23:11,8439,Missed EMI,UPI,Successful,Late penalty.
132,1349,546,7/1/2023 21:36,39599,EMI Payment,UPI,Pending,Late penalty.
133,2057,35,1/23/2023 12:08,17901,Missed EMI,Credit Card,Pending,Payment missed.
134,1522,302,1/3/2020 19:01,48719,Missed EMI,Online Transfer,Successful,Payment missed.
135,1216,694,10/9/2023 4:09,24644,EMI Payment,Cash,Pending,Partial payment.
136,2444,407,9/8/2020 14:25,32314,Prepayment,Cash,Pending,Partial payment.
137,1356,90,5/16/2024 2:27,42145,Penalty,Cash,Successful,On-time payment.
138,684,584,8/30/2024 16:05,33727,Penalty,Credit Card,Failed,Partial payment.
139,2399,621,4/2/2020 23:41,10771,Prepayment,Online Transfer,Pending,Late penalty.
140,759,282,3/26/2024 13:13,1029,EMI Payment,Cash,Successful,Payment missed.
141,311,158,12/29/2019 8:29,33488,Missed EMI,Online Transfer,Pending,Partial payment.
142,349,264,4/17/2022 18:45,15787,EMI Payment,UPI,Successful,On-time payment.
143,2217,626,8/3/2021 9:33,9408,Missed EMI,Cash,Failed,Late penalty.
144,2884,543,7/12/2020 14:23,33854,Refund,UPI,Successful,Partial payment.
145,544,369,6/25/2020 13:22,43090,Refund,Credit Card,Pending,Partial payment.
146,446,604,5/1/2020 1:34,47556,Penalty,Cash,Pending,On-time payment.
147,2743,954,12/23/2019 17:31,20388,Refund,UPI,Failed,Payment missed.
148,721,977,11/5/2020 7:05,46669,Penalty,Online Transfer,Failed,On-time payment.
149,596,435,6/11/2022 7:41,6886,Penalty,UPI,Successful,Partial payment.
150,662,416,8/22/2021 16:46,44412,Prepayment,Credit Card,Pending,Late penalty.
151,2462,408,9/6/2021 14:49,2264,Prepayment,Cash,Pending,Late penalty.
152,2056,892,11/25/2021 4:45,39912,Missed EMI,Online Transfer,Pending,Late penalty.
153,1093,387,9/19/2020 7:15,30330,Penalty,UPI,Pending,On-time payment.
154,2245,138,2/14/2023 21:20,44644,EMI Payment,Cash,Successful,Payment missed.
155,1843,711,10/12/2023 15:30,39219,EMI Payment,Credit Card,Pending,Late penalty.
156,2397,61,12/19/2020 4:33,8729,Penalty,Cash,Failed,Late penalty.
157,1058,705,4/12/2024 2:34,12956,Prepayment,Cash,Pending,Partial payment.
158,368,956,8/6/2020 17:29,23744,Prepayment,Cash,Failed,On-time payment.
159,1553,270,10/5/2023 15:23,6890,Refund,Cash,Successful,Partial payment.
160,1838,731,1/20/2024 10:54,24145,Prepayment,Cash,Failed,Payment missed.
161,1994,366,8/25/2024 23:22,41530,Refund,Cash,Successful,Partial payment.
162,400,208,6/5/2021 6:57,46872,Refund,Credit Card,Successful,Payment missed.
163,1900,933,5/12/2023 19:02,22063,Missed EMI,Cash,Successful,Late penalty.
164,66,40,3/26/2022 10:34,30532,Refund,Cash,Failed,Late penalty.
165,2964,478,3/29/2020 11:27,2460,Penalty,Online Transfer,Pending,Late penalty.
166,1046,116,12/4/2023 23:48,49594,Missed EMI,Cash,Successful,Payment missed.
167,404,190,4/2/2022 16:53,13074,Missed EMI,Online Transfer,Successful,Late penalty.
168,2982,629,7/24/2020 4:07,20625,Prepayment,Cash,Successful,Partial payment.
169,2848,215,4/17/2022 20:03,32306,Prepayment,Credit Card,Successful,On-time payment.
170,332,358,4/7/2021 5:16,48144,EMI Payment,Credit Card,Failed,Partial payment.
171,592,8,10/7/2022 9:07,15345,Refund,Cash,Failed,Partial payment.
172,1431,775,7/9/2020 19:09,18158,Refund,Credit Card,Successful,On-time payment.
173,2622,599,8/12/2023 22:35,6372,Penalty,UPI,Successful,Partial payment.
174,47,91,8/10/2022 15:51,12300,Prepayment,Cash,Successful,On-time payment.
175,1690,615,3/27/2020 16:37,4457,Missed EMI,Cash,Successful,Late penalty.
176,2263,13,5/25/2024 1:28,13060,Missed EMI,UPI,Failed,Late penalty.
177,1090,511,5/16/2020 23:31,34317,Prepayment,Credit Card,Failed,Partial payment.
178,1543,651,11/26/2024 22:51,9415,Penalty,Online Transfer,Failed,Late penalty.
179,1536,869,11/21/2020 21:38,33352,EMI Payment,UPI,Pending,On-time payment.
180,1388,565,12/23/2023 1:21,17555,Missed EMI,Online Transfer,Pending,Late penalty.
181,1337,963,1/20/2024 7:41,22568,Missed EMI,Online Transfer,Successful,On-time payment.
182,1024,758,4/7/2023 11:48,49556,Prepayment,Cash,Pending,Payment missed.
183,147,588,3/18/2023 0:14,12352,Penalty,Cash,Failed,On-time payment.
184,766,100,3/14/2022 5:59,14617,Prepayment,Online Transfer,Pending,Late penalty.
185,574,482,4/15/2021 20:12,44597,Prepayment,UPI,Successful,Payment missed.
186,449,525,12/10/2023 2:07,7783,Refund,Online Transfer,Successful,On-time payment.
187,2337,324,7/6/2020 1:35,4003,EMI Payment,Credit Card,Pending,Late penalty.
188,247,883,10/29/2023 16:33,24428,Penalty,Online Transfer,Successful,On-time payment.
189,2106,792,12/22/2023 18:06,2239,Prepayment,UPI,Successful,Payment missed.
190,2534,724,9/3/2023 10:53,46078,EMI Payment,Credit Card,Successful,Partial payment.
191,653,88,8/11/2021 3:44,8264,EMI Payment,Credit Card,Successful,On-time payment.
192,717,414,1/3/2023 17:41,35490,Missed EMI,UPI,Successful,Partial payment.
193,2009,915,2/5/2023 20:01,14684,Prepayment,UPI,Successful,Payment missed.
194,1221,623,3/23/2023 23:26,15224,Prepayment,UPI,Failed,On-time payment.
195,605,533,6/18/2024 4:16,46942,Refund,Credit Card,Pending,Partial payment.
196,366,935,2/10/2021 14:11,12191,Refund,Credit Card,Failed,Late penalty.
197,1749,967,9/10/2022 7:55,19260,EMI Payment,Credit Card,Failed,Late penalty.
198,804,341,9/14/2020 3:40,11563,Missed EMI,Credit Card,Successful,Partial payment.
199,368,166,11/9/2024 12:18,32974,Penalty,Online Transfer,Successful,On-time payment.
200,1790,312,1/19/2023 22:06,32626,Penalty,Credit Card,Failed,On-time payment.
201,291,763,8/8/2023 14:39,7455,EMI Payment,UPI,Successful,On-time payment.
202,322,725,5/5/2024 16:34,43405,Refund,UPI,Successful,Partial payment.
203,756,691,8/10/2020 3:22,36097,Refund,Cash,Pending,Payment missed.
204,2250,534,7/22/2023 8:50,11240,Prepayment,UPI,Successful,Late penalty.
205,1962,367,9/15/2021 18:30,8826,Prepayment,Credit Card,Pending,On-time payment.
206,16,932,2/14/2020 2:16,47176,Prepayment,UPI,Failed,Partial payment.
207,972,687,3/2/2022 11:51,17055,Prepayment,Cash,Successful,Payment missed.
208,230,902,3/5/2020 16:12,43953,Refund,Online Transfer,Successful,On-time payment.
209,2072,655,12/18/2021 23:43,42668,Prepayment,UPI,Failed,Late penalty.
210,1334,547,5/27/2021 13:39,1790,EMI Payment,Cash,Pending,Partial payment.
211,2438,519,9/25/2023 11:31,5175,Penalty,Online Transfer,Successful,On-time payment.
212,2302,656,1/9/2020 13:40,49532,Penalty,UPI,Failed,Partial payment.
213,351,123,4/12/2024 22:36,20293,Penalty,UPI,Failed,Partial payment.
214,1011,802,2/12/2020 11:14,40866,EMI Payment,Credit Card,Successful,Partial payment.
215,1954,450,9/1/2024 22:14,17326,Penalty,Online Transfer,Successful,Late penalty.
216,668,313,1/3/2024 22:28,23060,EMI Payment,Credit Card,Failed,Payment missed.
217,1535,796,8/8/2023 11:22,7071,Refund,Cash,Successful,On-time payment.
218,391,558,2/2/2022 19:25,28563,Missed EMI,Cash,Successful,Late penalty.
219,1912,30,3/29/2024 10:16,27558,Refund,Online Transfer,Failed,On-time payment.
220,232,463,10/22/2024 14:26,44140,Penalty,Online Transfer,Failed,On-time payment.
221,19,654,2/6/2020 22:08,29938,Refund,Credit Card,Failed,Partial payment.
222,742,969,4/21/2023 12:15,5978,Refund,Cash,Failed,Payment missed.
223,522,761,3/14/2022 11:32,43267,Prepayment,Cash,Failed,Partial payment.
224,1715,575,5/21/2024 20:24,21045,Missed EMI,Cash,Pending,On-time payment.
225,2946,283,3/11/2021 5:25,5502,Missed EMI,Credit Card,Pending,Payment missed.
226,1869,852,4/5/2021 8:33,20266,EMI Payment,UPI,Failed,Late penalty.
227,2514,397,5/5/2024 12:48,26417,Missed EMI,Credit Card,Failed,Late penalty.
228,217,579,5/13/2023 4:10,49073,Missed EMI,Credit Card,Failed,Payment missed.
229,2621,121,11/8/2021 23:06,3118,Penalty,Credit Card,Successful,Payment missed.
230,1318,284,8/9/2021 10:07,17872,Missed EMI,Credit Card,Successful,Late penalty.
231,389,560,7/5/2023 14:19,14418,Missed EMI,Cash,Pending,Payment missed.
232,103,431,9/5/2022 11:16,5179,EMI Payment,Cash,Pending,Partial payment.
233,423,203,8/3/2021 3:57,47262,Prepayment,Credit Card,Failed,Late penalty.
234,2474,876,9/4/2020 5:42,21195,Missed EMI,Credit Card,Pending,Late penalty.
235,1750,141,12/6/2020 13:02,36121,EMI Payment,Credit Card,Pending,Partial payment.
236,2272,835,4/7/2022 5:55,25789,EMI Payment,Online Transfer,Pending,Late penalty.
237,1495,222,6/21/2022 18:13,8929,Prepayment,UPI,Pending,On-time payment.
238,2733,919,12/1/2019 15:53,16863,Missed EMI,Credit Card,Successful,Late penalty.
239,396,203,11/13/2021 15:27,15951,Missed EMI,Online Transfer,Pending,Partial payment.
240,1568,487,12/28/2021 14:12,9655,Missed EMI,Online Transfer,Successful,Late penalty.
241,2778,574,7/4/2022 9:55,45547,Prepayment,Cash,Pending,Payment missed.
242,644,627,12/5/2019 7:44,42559,Refund,Online Transfer,Successful,Partial payment.
243,1859,830,9/28/2020 5:14,2739,Prepayment,UPI,Failed,Payment missed.
244,965,331,4/11/2021 9:17,47467,EMI Payment,Online Transfer,Pending,Late penalty.
245,506,3,8/12/2020 17:33,1204,Penalty,Credit Card,Failed,On-time payment.
246,2944,46,6/27/2021 1:15,18609,Missed EMI,Cash,Failed,Late penalty.
247,2810,46,7/30/2024 5:14,3713,Missed EMI,Credit Card,Failed,Late penalty.
248,1197,108,10/3/2020 20:31,19526,EMI Payment,Online Transfer,Failed,Partial payment.
249,2522,303,8/5/2024 23:16,28637,Prepayment,Cash,Failed,Payment missed.
250,848,527,11/24/2024 15:39,27255,Penalty,UPI,Pending,Late penalty.
251,772,996,6/11/2021 22:38,8944,EMI Payment,Online Transfer,Failed,Payment missed.
252,1018,935,11/14/2021 11:49,33484,Refund,Credit Card,Failed,Partial payment.
253,2870,246,2/23/2021 11:12,7102,Refund,Online Transfer,Pending,On-time payment.
254,253,561,9/29/2021 11:43,4671,Refund,Online Transfer,Pending,Payment missed.
255,2360,163,1/22/2021 7:44,45019,Missed EMI,Credit Card,Successful,On-time payment.
256,188,992,1/24/2020 15:22,15313,Penalty,UPI,Failed,On-time payment.
257,2748,170,1/22/2024 0:17,24823,Refund,Credit Card,Successful,Payment missed.
258,2630,145,12/19/2023 5:37,45138,Refund,Cash,Successful,Payment missed.
259,700,751,2/19/2022 17:59,39070,Penalty,Online Transfer,Successful,On-time payment.
260,2526,423,9/23/2024 13:10,11284,EMI Payment,UPI,Pending,On-time payment.
261,1348,432,5/13/2021 21:22,5881,Prepayment,UPI,Successful,On-time payment.
262,2694,744,9/16/2023 4:24,19245,Missed EMI,UPI,Successful,Late penalty.
263,22,6,10/30/2021 20:19,16275,EMI Payment,UPI,Successful,Partial payment.
264,481,651,8/1/2023 12:24,38029,EMI Payment,UPI,Successful,Late penalty.
265,2168,869,11/21/2024 22:25,18931,Refund,Cash,Successful,Partial payment.
266,1260,295,10/5/2023 16:15,17484,EMI Payment,UPI,Pending,Late penalty.
267,2654,99,12/24/2022 21:40,20959,Missed EMI,Online Transfer,Failed,On-time payment.
268,1393,801,10/28/2023 17:37,23751,Penalty,Credit Card,Pending,Partial payment.
269,2107,340,1/8/2022 23:35,29303,EMI Payment,Cash,Successful,On-time payment.
270,744,290,4/30/2023 1:51,41954,Penalty,Online Transfer,Pending,On-time payment.
271,2417,850,12/28/2019 6:38,7917,Missed EMI,Cash,Pending,Partial payment.
272,1344,374,10/18/2021 15:27,23571,Refund,Cash,Successful,On-time payment.
273,1373,875,5/28/2023 16:18,7476,Penalty,Online Transfer,Pending,On-time payment.
274,1426,116,10/31/2020 13:12,6817,Penalty,UPI,Pending,Partial payment.
275,669,105,4/29/2020 9:37,47982,Refund,Online Transfer,Failed,Partial payment.
276,2949,418,6/2/2023 19:15,39723,Refund,UPI,Pending,Partial payment.
277,762,509,9/27/2023 16:27,35392,EMI Payment,Cash,Successful,Payment missed.
278,1930,484,4/9/2020 6:26,21277,Refund,Cash,Pending,Late penalty.
279,2262,727,4/13/2024 15:36,49358,EMI Payment,Online Transfer,Failed,Late penalty.
280,429,511,5/15/2022 1:54,32094,Missed EMI,Online Transfer,Successful,Payment missed.
281,1470,264,11/9/2024 13:14,19303,Refund,Credit Card,Successful,Payment missed.
282,976,348,6/23/2021 11:08,34150,Penalty,UPI,Failed,On-time payment.
283,395,124,1/13/2023 4:15,37306,Penalty,UPI,Failed,Late penalty.
284,2646,12,12/16/2021 16:13,4026,Refund,UPI,Failed,Payment missed.
285,1897,742,11/13/2021 11:57,18574,Refund,UPI,Pending,On-time payment.
286,421,117,9/16/2023 21:39,31755,EMI Payment,Cash,Pending,Late penalty.
287,2295,292,12/1/2019 23:37,9805,Refund,Credit Card,Failed,Partial payment.
288,1408,569,8/2/2022 18:59,39699,Prepayment,UPI,Pending,Partial payment.
289,2473,368,8/1/2020 4:15,45633,EMI Payment,Cash,Failed,Partial payment.
290,32,743,12/2/2023 4:32,9978,EMI Payment,UPI,Failed,Late penalty.
291,936,21,12/8/2020 6:10,12808,EMI Payment,UPI,Pending,Partial payment.
292,436,598,12/17/2019 5:02,49362,Penalty,Online Transfer,Pending,Partial payment.
293,2325,305,9/23/2024 16:23,33948,EMI Payment,Cash,Failed,Partial payment.
294,1593,680,9/15/2021 12:25,7633,Refund,Online Transfer,Failed,Payment missed.
295,1933,858,6/22/2024 8:32,45506,Prepayment,Online Transfer,Pending,Late penalty.
296,1365,204,7/2/2021 5:09,14510,Prepayment,Cash,Failed,Late penalty.
297,2228,69,11/1/2024 12:34,29025,EMI Payment,Cash,Pending,On-time payment.
298,220,257,12/25/2021 14:08,8565,Missed EMI,Online Transfer,Successful,Late penalty.
299,2564,791,9/23/2024 10:46,30672,Refund,UPI,Successful,Late penalty.
300,2583,938,5/11/2023 21:29,36064,Refund,Credit Card,Failed,Payment missed.
301,2939,67,9/27/2022 23:26,34026,Missed EMI,UPI,Failed,Late penalty.
302,1844,214,12/23/2020 0:27,13799,Missed EMI,Credit Card,Successful,Late penalty.
303,1375,912,7/18/2020 3:42,26499,Missed EMI,Credit Card,Successful,Payment missed.
304,2606,402,11/21/2021 2:06,22330,Missed EMI,Credit Card,Pending,Late penalty.
305,1462,5,8/27/2021 5:51,10591,EMI Payment,Cash,Failed,Payment missed.
306,1111,463,6/29/2024 23:40,39919,Refund,Online Transfer,Successful,Partial payment.
307,1102,772,9/9/2022 20:28,1848,Penalty,Cash,Successful,Late penalty.
308,1023,698,5/30/2021 14:02,16621,Missed EMI,Online Transfer,Failed,Late penalty.
309,1708,592,1/17/2023 13:54,49196,Refund,UPI,Pending,Late penalty.
310,2419,592,12/3/2021 14:30,16784,Refund,Credit Card,Successful,Partial payment.
311,1516,175,3/23/2020 12:29,16631,Missed EMI,Online Transfer,Successful,On-time payment.
312,2123,950,8/14/2022 16:24,14897,EMI Payment,Cash,Successful,Late penalty.
313,829,342,6/16/2024 5:23,11496,Refund,Credit Card,Failed,Late penalty.
314,1228,752,9/23/2024 21:10,34007,Penalty,Online Transfer,Pending,Partial payment.
315,2102,585,10/29/2023 13:12,29668,EMI Payment,Online Transfer,Failed,Payment missed.
316,2355,164,1/9/2020 3:47,36634,Missed EMI,Cash,Pending,On-time payment.
317,880,747,3/4/2022 20:13,39408,Refund,UPI,Pending,Partial payment.
318,2988,844,1/3/2020 0:03,49823,Prepayment,Cash,Pending,Payment missed.
319,1185,229,2/20/2023 12:08,27899,Penalty,Cash,Successful,On-time payment.
320,1751,390,7/3/2022 18:49,42331,EMI Payment,Online Transfer,Failed,Payment missed.
321,1969,394,12/24/2019 9:19,30052,Prepayment,Credit Card,Failed,Late penalty.
322,1382,512,10/21/2020 15:12,47271,Refund,Cash,Pending,Partial payment.
323,2732,176,7/23/2023 20:53,23121,Refund,Cash,Failed,On-time payment.
324,1476,55,2/24/2023 6:43,33211,Penalty,Credit Card,Successful,On-time payment.
325,2683,618,8/28/2022 16:41,13004,Prepayment,Online Transfer,Pending,On-time payment.
