loan_id,customer_id,loan_amount,loan_date,loan_status,repayment_history,interest_rate,loan_purpose,collateral,default_risk
65,523,401897,1/24/2023,Rejected,4,6.71,Education,House,Low
66,604,440860,2/2/2020,Rejected,7,8.87,Medical,House,High
67,922,144058,2/10/2020,Defaulted,9,10.75,Home Renovation,House,Medium
68,192,368565,7/26/2020,Closed,4,12.25,Business Expansion,None,High
69,250,70961,10/7/2023,Closed,7,6.05,Education,None,High
70,803,422665,9/23/2024,Defaulted,1,8.71,Business Expansion,Car,High
71,214,356163,11/29/2019,Closed,1,9.73,Business Expansion,House,Medium
72,363,392762,2/4/2024,Rejected,1,7.83,Business Expansion,House,Low
73,299,30924,8/15/2024,Closed,7,10.19,Education,Car,Low
74,525,281533,8/24/2024,Closed,9,8.61,Medical,Car,Medium
75,528,330361,1/28/2021,Approved,7,5.64,Education,None,High
76,36,448203,6/24/2021,Rejected,10,12.5,Home Renovation,None,Low
77,98,394189,10/28/2023,Approved,7,8.43,Business Expansion,Car,Low
78,101,329642,4/19/2021,Closed,7,5.53,Medical,Car,Medium
79,563,42938,12/28/2021,Defaulted,7,6.75,Home Renovation,House,Low
80,102,388843,10/16/2020,Closed,7,9.32,Business Expansion,None,Low
81,584,74694,4/9/2023,Closed,10,7.68,Education,House,Medium
82,399,162408,5/7/2024,Defaulted,1,10.88,Home Renovation,Car,Medium
83,590,222842,9/21/2021,Rejected,3,4.85,Medical,House,High
84,219,14168,2/19/2024,Closed,3,5.05,Medical,House,High
85,699,99700,11/7/2020,Rejected,7,4.45,Education,House,High
86,783,198479,1/11/2024,Approved,4,11.44,Education,None,Low
87,234,384255,6/18/2024,Closed,3,5.23,Home Renovation,Car,Low
88,611,303059,3/24/2024,Approved,3,12.35,Education,House,High
89,186,285987,8/10/2023,Closed,8,11.22,Medical,House,High
90,458,199008,5/1/2021,Defaulted,3,3.84,Home Renovation,Car,High
91,612,292808,6/25/2023,Defaulted,7,4.31,Business Expansion,Car,High
92,860,356258,4/1/2022,Defaulted,7,3.86,Medical,Car,Low
93,719,385651,11/5/2023,Defaulted,6,5.02,Business Expansion,None,Medium
94,918,242771,5/23/2022,Closed,4,4.24,Education,House,Low
95,611,226879,7/25/2022,Closed,7,10.86,Medical,House,Medium
96,957,371849,7/28/2024,Closed,6,11.03,Education,None,Medium
97,27,319264,7/20/2024,Closed,10,10.53,Home Renovation,House,High
98,674,298754,1/21/2021,Rejected,2,5.52,Home Renovation,Car,High
99,229,119457,3/13/2023,Approved,3,4.83,Medical,House,Low
100,912,266693,7/15/2024,Rejected,2,11.57,Medical,Car,Medium
101,751,187100,7/8/2020,Closed,7,10.24,Medical,House,Medium
102,52,129738,8/12/2024,Rejected,7,9.54,Home Renovation,House,Low
103,868,159138,3/21/2024,Approved,10,10.5,Business Expansion,None,High
104,571,259701,5/30/2023,Closed,2,8.98,Home Renovation,House,Medium
105,452,218522,4/21/2021,Approved,3,7.08,Education,Car,Low
106,226,7158,3/11/2020,Defaulted,7,4.98,Education,House,High
107,69,370278,10/25/2022,Defaulted,10,11.84,Medical,Car,Medium
108,921,255874,6/4/2023,Approved,2,5.83,Medical,Car,High
109,182,185073,2/17/2022,Rejected,7,7.75,Education,None,Low
110,843,11761,6/23/2020,Closed,1,6.21,Business Expansion,None,Medium
111,847,429475,11/21/2023,Defaulted,4,8.1,Home Renovation,Car,Medium
112,246,448346,1/29/2022,Defaulted,2,7.46,Business Expansion,Car,High
113,573,65715,12/9/2022,Approved,2,6.13,Home Renovation,Car,High
114,555,184956,3/31/2023,Rejected,7,10.04,Business Expansion,None,High
115,213,30145,10/30/2022,Defaulted,8,9.29,Education,House,High
116,617,329295,9/16/2020,Defaulted,10,9.54,Business Expansion,None,High
117,858,34193,1/22/2022,Closed,7,3.62,Home Renovation,Car,Medium
118,449,313820,3/21/2022,Closed,3,11.01,Home Renovation,None,High
119,684,190602,1/13/2022,Defaulted,3,10.73,Business Expansion,House,High
120,214,133435,11/24/2020,Approved,7,9.3,Home Renovation,None,Low
121,665,21122,4/4/2024,Approved,6,10.21,Home Renovation,House,Low
122,197,425077,2/4/2023,Rejected,2,3.85,Home Renovation,House,High
123,87,412470,2/12/2020,Closed,4,10.37,Medical,House,Medium
124,411,15784,8/13/2020,Rejected,8,8.98,Business Expansion,Car,Medium
125,271,86217,7/23/2023,Defaulted,2,5.54,Business Expansion,Car,Medium
126,635,486235,4/18/2023,Defaulted,10,6.75,Education,Car,High
127,43,98124,1/23/2021,Defaulted,2,3.56,Medical,Car,High
128,871,24525,10/8/2020,Approved,10,9.26,Medical,None,Medium
129,250,203747,12/13/2020,Defaulted,10,7.26,Medical,None,Low
130,976,115434,9/8/2021,Rejected,5,8.04,Business Expansion,Car,High
131,82,54781,8/3/2024,Approved,3,11.44,Education,House,High
132,842,236693,8/3/2022,Defaulted,1,9.79,Home Renovation,Car,Low
133,422,468501,6/9/2023,Rejected,6,6.79,Education,House,Medium
134,335,178881,5/4/2023,Defaulted,9,9.13,Medical,Car,Low
135,676,174403,2/18/2024,Rejected,4,7.92,Education,House,High
136,379,307011,7/28/2022,Approved,7,7.8,Business Expansion,House,Low
137,366,286985,9/23/2024,Rejected,4,4.94,Education,None,Low
138,920,349215,7/14/2020,Approved,8,3.88,Medical,Car,Low
139,321,458985,2/11/2022,Defaulted,2,9.48,Education,Car,High
140,427,381132,3/14/2022,Rejected,10,5.06,Home Renovation,House,High
141,495,109608,7/2/2020,Approved,4,10.67,Education,None,High
142,967,154385,11/17/2020,Rejected,5,12.3,Medical,None,High
143,967,185299,12/6/2023,Closed,4,11.44,Medical,Car,Medium
144,769,357388,4/8/2022,Approved,4,12.05,Education,Car,Low
145,2,225024,10/27/2022,Rejected,4,5.52,Business Expansion,None,Low
146,745,287929,3/2/2020,Closed,10,6.79,Medical,Car,Low
147,37,477611,12/7/2022,Approved,7,6.17,Medical,Car,High
148,630,439323,5/12/2024,Defaulted,7,3.77,Business Expansion,House,Low
149,694,42581,1/10/2023,Rejected,5,4.25,Medical,Car,Low
150,865,149209,8/12/2023,Approved,4,11.45,Education,House,High
151,38,320538,12/6/2020,Rejected,6,8.66,Medical,None,Medium
152,234,287877,10/7/2020,Closed,5,4.23,Home Renovation,None,High
153,683,493919,3/10/2023,Closed,10,5.77,Business Expansion,None,High
154,643,226157,4/9/2023,Closed,10,7.26,Medical,House,High
155,287,84951,11/20/2020,Approved,6,11.42,Home Renovation,None,High
156,152,357945,6/16/2023,Defaulted,7,11.63,Medical,House,High
157,426,357408,11/23/2021,Approved,10,8.58,Home Renovation,None,Low
158,146,227844,3/26/2021,Approved,1,5.35,Home Renovation,None,Low
159,691,39099,3/30/2021,Approved,3,10.56,Home Renovation,None,Low
160,361,355434,1/3/2022,Closed,3,4.57,Medical,None,Medium
161,879,187052,6/18/2020,Defaulted,6,8.16,Medical,None,High
162,977,352666,8/30/2021,Approved,4,7.11,Medical,House,High
163,160,80594,9/10/2022,Rejected,6,5.66,Business Expansion,None,Medium
164,751,139615,7/17/2023,Defaulted,5,12.34,Medical,Car,High
165,117,498804,11/4/2020,Defaulted,3,11.08,Medical,None,High
166,5,121586,4/17/2024,Rejected,1,7.63,Education,Car,High
167,924,74086,6/24/2023,Approved,6,4.86,Home Renovation,None,Medium
168,728,478723,12/11/2022,Closed,3,6.36,Education,Car,Low
169,800,422951,4/23/2024,Rejected,6,12.23,Medical,None,Medium
170,81,303358,8/1/2024,Approved,6,11.62,Business Expansion,House,Low
171,140,472137,10/21/2020,Approved,8,11.29,Business Expansion,Car,Low
172,729,121331,6/30/2021,Approved,5,10.3,Home Renovation,House,Low
173,876,467223,7/31/2023,Closed,10,11.92,Business Expansion,None,Low
174,220,224162,9/13/2024,Rejected,10,9.71,Education,Car,Low
175,162,491728,6/19/2021,Rejected,8,9.53,Business Expansion,None,High
176,985,265467,10/9/2023,Defaulted,4,11.22,Medical,None,Medium
177,967,377465,6/10/2023,Defaulted,1,5.87,Business Expansion,Car,High
178,717,331305,1/9/2020,Defaulted,10,10.91,Medical,Car,Medium
179,662,67991,8/28/2023,Approved,4,9.78,Home Renovation,House,Low
180,471,488409,11/30/2021,Rejected,7,5.48,Home Renovation,None,Low
181,662,104448,10/25/2021,Defaulted,8,10.18,Business Expansion,House,Low
182,418,350365,7/8/2020,Defaulted,6,11.63,Business Expansion,House,High
183,285,42176,5/6/2021,Closed,7,8.35,Business Expansion,None,Low
184,944,89147,6/7/2021,Closed,2,11.21,Business Expansion,House,Low
185,853,69268,6/25/2021,Closed,7,11.51,Education,Car,High
186,94,92245,2/6/2024,Defaulted,8,12.18,Home Renovation,None,Low
187,449,229753,9/24/2022,Rejected,8,11.58,Business Expansion,House,High
188,65,344099,7/31/2023,Closed,8,7.9,Medical,Car,High
189,525,283559,6/3/2023,Closed,8,5.36,Business Expansion,None,Low
190,901,143529,3/11/2023,Approved,9,4.09,Home Renovation,Car,High
191,547,99606,1/27/2024,Approved,4,9.11,Home Renovation,House,Medium
192,183,82685,9/9/2024,Rejected,6,6.97,Medical,Car,Low
193,412,112083,5/28/2020,Closed,3,11.07,Home Renovation,House,Low
194,350,298882,4/6/2023,Approved,8,11.34,Education,Car,Medium
195,364,155470,1/16/2021,Defaulted,4,9.7,Business Expansion,Car,Medium
196,151,55709,5/6/2020,Rejected,6,4.37,Education,House,High
197,33,279224,8/12/2024,Closed,2,11.82,Medical,Car,Medium
198,447,170867,8/1/2021,Approved,4,8.75,Medical,House,Medium
199,471,127706,4/21/2024,Rejected,1,7.87,Business Expansion,None,High
200,418,457642,4/15/2020,Rejected,6,11.67,Business Expansion,None,High
201,165,397156,2/24/2020,Defaulted,9,12.31,Business Expansion,None,Low
202,465,133168,3/25/2023,Closed,8,5.73,Home Renovation,Car,Medium
203,205,150455,10/22/2024,Closed,8,6.1,Business Expansion,None,Medium
204,51,356228,9/5/2024,Defaulted,2,7.14,Education,Car,High
205,339,91925,8/18/2020,Closed,9,9.84,Business Expansion,None,High
206,511,257232,11/8/2023,Approved,1,11.14,Medical,Car,High
207,218,55395,7/22/2020,Closed,8,7.87,Education,House,High
208,263,13286,11/5/2024,Closed,3,11.48,Education,Car,Low
209,297,112661,6/27/2020,Closed,9,12.35,Business Expansion,House,Low
210,866,491203,9/23/2024,Closed,9,7.59,Business Expansion,None,Medium
211,70,156862,1/6/2023,Approved,3,8.16,Education,None,High
212,543,113480,2/5/2022,Defaulted,7,5.42,Education,None,Medium
213,862,248627,10/14/2022,Rejected,5,6.92,Education,Car,Medium
214,938,431326,6/16/2022,Defaulted,9,3.65,Business Expansion,Car,High
215,759,204587,7/27/2020,Defaulted,1,10.67,Education,None,Medium
216,595,163767,5/3/2022,Closed,6,9.2,Home Renovation,House,Low
217,362,148651,10/23/2023,Defaulted,4,11.42,Medical,None,High
218,53,280068,3/3/2024,Approved,10,5.28,Business Expansion,None,Low
219,443,446019,5/14/2021,Closed,2,10.77,Business Expansion,None,Low
220,58,417239,12/22/2021,Closed,8,6.82,Home Renovation,House,Low
221,102,216661,6/18/2023,Closed,3,11.23,Medical,Car,Medium
222,69,212399,4/1/2022,Closed,9,5.97,Medical,Car,Low
223,937,259090,10/5/2021,Defaulted,8,8.54,Home Renovation,Car,Medium
224,833,405412,11/23/2022,Closed,4,12.09,Medical,Car,Low
225,960,433260,5/13/2020,Rejected,4,4.39,Education,None,Medium
226,896,485337,8/12/2020,Rejected,6,6.19,Business Expansion,None,Low
227,322,53881,6/10/2022,Rejected,4,5.37,Medical,None,High
228,92,56652,2/6/2023,Approved,7,4.72,Medical,House,Medium
229,324,480644,8/10/2023,Rejected,7,5.33,Home Renovation,Car,Low
230,191,87500,8/4/2023,Closed,3,10.25,Home Renovation,None,High
231,43,185689,6/25/2023,Approved,9,4.88,Home Renovation,Car,Medium
232,139,150164,8/17/2021,Defaulted,5,12,Medical,House,Medium
233,888,126437,1/30/2022,Defaulted,9,8.3,Medical,None,Medium
234,349,479609,2/26/2022,Closed,6,4.97,Home Renovation,House,High
235,201,125478,2/3/2020,Approved,6,4.5,Medical,Car,Low
236,43,332705,4/11/2023,Closed,10,3.7,Business Expansion,Car,Low
237,870,492512,11/13/2023,Defaulted,8,8.43,Home Renovation,Car,Low
238,617,489364,5/10/2021,Rejected,8,9.22,Home Renovation,Car,Low
239,352,382946,10/8/2022,Approved,3,10.03,Home Renovation,None,High
240,769,424994,4/12/2020,Approved,1,8.63,Medical,Car,Low
241,293,469923,2/25/2024,Defaulted,1,10.46,Business Expansion,Car,Medium
242,234,440850,7/14/2020,Rejected,6,11.32,Education,None,Medium
243,350,29265,10/22/2023,Defaulted,5,6.38,Medical,None,Low
244,378,231012,10/14/2021,Approved,3,5.85,Home Renovation,None,Medium
245,755,6979,2/20/2020,Approved,4,10.06,Business Expansion,House,Medium
246,788,445732,12/18/2022,Rejected,1,5.63,Education,Car,Low
247,254,422321,5/31/2023,Defaulted,4,5.26,Home Renovation,Car,High
248,778,186190,1/1/2021,Rejected,4,4.87,Education,None,Low
249,687,243602,12/23/2023,Rejected,1,9.09,Medical,None,High
250,782,448846,2/15/2022,Defaulted,1,10.71,Home Renovation,House,Medium
251,858,270432,3/9/2024,Rejected,10,10.69,Education,Car,Medium
252,814,107540,9/15/2022,Defaulted,8,5.35,Home Renovation,House,High
253,41,171901,10/9/2023,Defaulted,10,9.97,Education,Car,Low
254,818,411581,11/18/2021,Approved,3,11.15,Home Renovation,Car,Medium
255,37,131204,12/27/2022,Defaulted,1,3.54,Education,Car,Low
256,565,236341,5/4/2022,Closed,6,12.11,Education,Car,Medium
257,310,108674,4/28/2022,Closed,2,4.3,Home Renovation,None,Medium
258,406,235502,3/24/2023,Approved,8,4.33,Education,Car,Low
259,981,378148,6/15/2024,Approved,9,11.65,Education,Car,Low
260,798,181858,9/19/2022,Defaulted,2,11.25,Home Renovation,House,Low
261,163,492088,1/8/2023,Rejected,5,3.7,Education,House,Medium
262,374,245831,7/10/2024,Rejected,2,11.46,Home Renovation,None,Low
263,485,186758,8/22/2024,Approved,10,6.48,Home Renovation,Car,High
264,436,198542,5/19/2021,Defaulted,9,6.82,Medical,House,Low
265,271,385207,6/3/2022,Approved,9,7.29,Home Renovation,House,High
266,620,75071,11/7/2022,Closed,4,10.37,Home Renovation,House,Low
267,252,355720,6/20/2022,Rejected,10,8.15,Home Renovation,None,Medium
268,897,195807,6/12/2022,Defaulted,1,4.77,Home Renovation,House,High
269,784,179508,9/15/2022,Defaulted,8,4.99,Medical,Car,Medium
270,662,99625,4/28/2024,Closed,6,11.76,Business Expansion,Car,Low
271,494,38572,12/3/2021,Rejected,5,7.34,Education,None,Low
272,884,222977,4/25/2024,Approved,3,11.76,Business Expansion,None,Low
273,42,120121,12/21/2023,Defaulted,2,6.98,Business Expansion,Car,Low
274,492,159223,10/23/2021,Approved,1,11.14,Home Renovation,House,High
275,350,390869,7/2/2021,Closed,6,9.09,Home Renovation,House,Low
276,966,302182,3/17/2022,Approved,6,7.43,Business Expansion,None,High
277,342,31462,10/24/2021,Defaulted,3,10.41,Education,Car,Low
278,288,178251,9/18/2020,Approved,8,8.63,Business Expansion,House,Medium
279,60,391714,11/9/2022,Defaulted,3,10.24,Home Renovation,Car,High
280,702,83667,3/9/2022,Approved,7,7.13,Medical,House,Medium
281,585,161389,8/28/2021,Closed,6,4.35,Home Renovation,Car,High
282,351,39829,12/1/2023,Rejected,7,10.07,Home Renovation,None,High
283,202,168974,7/3/2022,Rejected,10,7.08,Education,None,Medium
284,773,482399,3/29/2024,Rejected,4,12.31,Medical,Car,Medium
285,406,414408,11/20/2022,Defaulted,7,6.74,Education,House,Low
286,187,257193,11/28/2020,Rejected,9,4.26,Education,None,High
287,851,132385,9/16/2024,Approved,2,12.06,Home Renovation,House,High
288,764,334820,1/26/2023,Defaulted,9,6.14,Business Expansion,None,High
289,693,243325,7/9/2020,Approved,5,10.51,Education,None,Medium
290,195,61105,5/6/2024,Defaulted,6,12.43,Home Renovation,None,Medium
291,49,454618,8/21/2021,Approved,8,5.95,Medical,Car,Low
292,763,46925,3/22/2022,Approved,4,9.2,Medical,Car,Medium
293,548,276948,2/26/2020,Rejected,3,3.79,Education,House,Low
294,673,424538,1/13/2023,Approved,8,8.18,Medical,House,Medium
295,439,362396,6/9/2022,Closed,2,10.8,Medical,House,High
296,672,266586,1/7/2024,Defaulted,6,7.78,Business Expansion,House,Low
297,639,308081,6/7/2021,Defaulted,2,4.86,Home Renovation,House,High
298,39,9597,1/12/2024,Rejected,5,10.28,Medical,House,High
299,430,164637,12/6/2019,Defaulted,1,6.46,Education,Car,High
300,412,252601,9/23/2021,Rejected,6,4.47,Medical,None,Low
301,150,438523,11/20/2024,Closed,3,5.23,Education,House,Medium
302,962,53573,8/12/2023,Closed,10,5.62,Business Expansion,None,High
303,157,393454,4/12/2022,Defaulted,6,9.85,Business Expansion,None,Medium
304,627,293465,2/2/2021,Approved,2,3.92,Business Expansion,None,Low
305,183,93052,7/30/2020,Closed,1,3.81,Business Expansion,House,Medium
306,664,238603,10/25/2020,Rejected,10,7.16,Home Renovation,House,High
307,175,99397,9/19/2021,Rejected,2,9.47,Medical,None,High
308,159,307835,6/26/2024,Defaulted,9,4.2,Business Expansion,Car,Low
309,32,150287,5/31/2023,Defaulted,3,12.07,Medical,House,High
310,636,106522,2/16/2023,Approved,5,6.37,Education,Car,Medium
311,467,47794,3/17/2021,Rejected,6,9.25,Home Renovation,House,Medium
312,4,193162,12/3/2023,Approved,3,8.02,Business Expansion,None,Low
313,525,464761,7/12/2024,Approved,3,7.95,Medical,None,Medium
314,126,120399,3/16/2020,Closed,8,9.74,Medical,House,Medium
315,426,217084,8/8/2020,Approved,3,9.49,Business Expansion,Car,Low
316,280,30253,7/17/2020,Approved,1,9.74,Medical,House,Medium
317,181,361383,6/22/2023,Defaulted,5,6.17,Business Expansion,None,Medium
318,948,235041,2/24/2020,Defaulted,6,6.39,Medical,None,Low
319,26,242606,5/27/2021,Approved,9,3.73,Home Renovation,House,Medium
320,576,419031,8/17/2021,Rejected,4,6.44,Medical,House,Low
321,446,91418,8/13/2021,Rejected,4,9.51,Education,None,Medium
322,399,44064,12/24/2022,Approved,4,5,Education,Car,High
323,760,24208,7/10/2024,Rejected,6,10.68,Education,None,Low
324,939,12928,3/2/2023,Closed,7,6.8,Business Expansion,Car,High
325,543,194380,1/27/2023,Approved,10,6.74,Medical,House,Medium
326,841,453748,5/3/2023,Defaulted,5,9.47,Home Renovation,None,High
327,336,420944,9/19/2022,Closed,10,5.73,Business Expansion,Car,Low
328,632,6280,4/3/2022,Approved,9,11.29,Education,House,High
329,277,361877,9/11/2020,Approved,4,7.4,Business Expansion,Car,Low
330,346,51005,7/13/2021,Defaulted,6,7.23,Medical,House,Low
331,404,364483,1/17/2022,Defaulted,9,8.12,Medical,House,Medium
332,534,468694,8/2/2022,Closed,5,6.57,Home Renovation,House,High
333,646,199090,10/8/2022,Approved,10,4.27,Education,Car,Low
334,728,106752,11/3/2021,Defaulted,3,6.04,Medical,None,High
335,619,484856,4/9/2022,Closed,1,11.6,Business Expansion,House,High
336,21,485934,8/23/2023,Approved,7,3.93,Education,House,Medium
337,860,242189,1/14/2022,Closed,5,7.98,Medical,Car,Medium
338,183,190835,6/16/2023,Closed,10,3.6,Medical,None,High
339,15,78179,9/13/2020,Rejected,9,5.35,Education,None,Low
340,535,461241,2/20/2021,Defaulted,9,9.84,Education,House,High
341,798,122105,7/14/2024,Defaulted,7,7.18,Education,None,Medium
342,210,265956,7/27/2021,Closed,9,9.8,Medical,Car,Medium
343,247,170241,12/23/2023,Defaulted,1,4,Education,House,Medium
344,461,263134,2/25/2022,Approved,10,12.32,Home Renovation,Car,Low
345,649,215826,12/20/2022,Rejected,8,4.48,Home Renovation,None,Low
346,598,222381,11/2/2020,Rejected,10,10.21,Business Expansion,House,Low
347,196,30606,12/19/2023,Rejected,8,12.15,Business Expansion,None,Medium
348,3,452161,12/14/2023,Closed,4,9.59,Home Renovation,Car,Low
349,35,23028,11/1/2020,Closed,2,4.63,Education,Car,Low
350,644,438787,10/13/2022,Approved,1,3.55,Business Expansion,None,Medium
351,889,240533,1/10/2023,Rejected,10,4.43,Business Expansion,Car,Low
352,491,327316,8/29/2023,Defaulted,1,8.25,Medical,House,Low
353,86,327252,11/20/2020,Rejected,6,5.61,Medical,Car,Medium
354,780,490948,10/31/2023,Closed,8,4.76,Medical,None,Medium
355,537,372154,4/26/2022,Rejected,4,4.72,Home Renovation,House,Medium
356,72,368682,5/6/2021,Defaulted,3,8.42,Education,Car,Low
357,118,44161,10/19/2021,Defaulted,4,9.6,Education,None,High
358,28,264144,6/18/2024,Closed,6,9.86,Medical,Car,Medium
359,936,82970,3/9/2022,Approved,4,11.25,Education,Car,High
360,920,407904,6/16/2023,Rejected,2,6.14,Medical,Car,High
361,945,269431,10/3/2020,Rejected,1,12.01,Medical,None,Low
362,562,28969,9/27/2021,Defaulted,4,9.8,Home Renovation,Car,High
363,140,293128,12/28/2020,Defaulted,2,5.71,Home Renovation,Car,Medium
364,669,282109,8/23/2022,Approved,3,12.14,Education,House,Medium
365,110,266307,2/3/2024,Approved,7,10.76,Medical,Car,High
366,617,400406,10/28/2022,Rejected,8,8.75,Education,None,Low
367,188,385752,3/29/2021,Closed,8,6.77,Medical,Car,Medium
368,518,374510,1/13/2021,Approved,6,11.62,Education,None,Medium
369,451,274136,1/23/2022,Rejected,8,12.3,Education,House,High
370,835,461741,9/6/2021,Closed,5,9.95,Education,House,Medium
371,972,480186,7/1/2021,Approved,10,12.3,Business Expansion,House,Low
372,167,254555,6/7/2023,Rejected,6,12.35,Medical,House,Medium
373,104,52302,6/5/2020,Closed,6,6.42,Education,Car,Medium
374,223,236446,5/14/2023,Defaulted,7,11.51,Medical,None,Low
375,874,226968,5/11/2024,Defaulted,10,9.96,Business Expansion,House,Low
376,423,127382,9/4/2024,Rejected,5,3.92,Business Expansion,Car,Medium
377,341,187680,1/28/2024,Defaulted,1,4.11,Education,None,Low
378,85,60428,9/5/2021,Rejected,2,4.2,Home Renovation,House,High
379,961,6085,2/8/2022,Rejected,2,7.05,Business Expansion,None,High
380,40,459247,8/5/2020,Approved,10,7.06,Home Renovation,House,High
381,254,60644,1/16/2022,Rejected,7,8.09,Education,None,Medium
382,341,369572,2/24/2023,Defaulted,4,4.43,Business Expansion,House,Medium
383,895,494185,11/5/2024,Defaulted,5,6.28,Business Expansion,House,Low
384,342,212288,8/3/2020,Approved,2,5.96,Education,House,Low
385,95,349262,11/16/2023,Defaulted,4,11.75,Medical,Car,Medium
386,387,447083,9/12/2022,Closed,2,5.55,Medical,Car,Low
387,409,196170,1/5/2020,Defaulted,4,7.13,Medical,Car,High
388,468,259079,2/27/2024,Closed,8,12.42,Medical,Car,Medium
389,571,12622,8/28/2021,Rejected,8,11.46,Business Expansion,None,Medium
390,448,294763,5/27/2021,Defaulted,5,4,Business Expansion,Car,Low
391,590,271244,10/30/2022,Approved,9,10.76,Business Expansion,Car,Low
392,422,485639,7/20/2020,Defaulted,7,11.66,Business Expansion,None,High
393,237,449518,8/10/2020,Defaulted,1,7.73,Education,House,Medium
